epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.30241,0.61495,3.43112,1.152,0.96593,0.1065,0.44129,0.37724,0.39269,2.74577,0.94935,0.000232333,0.000232333,0.000232333
2,11.2937,0.62245,2.41808,1.1446,0.65235,0.4896,0.59314,0.49081,0.52902,2.07928,1.09435,0.000461021,0.000461021,0.000461021
3,16.0999,0.63286,2.05611,1.14171,0.3974,0.79403,0.63489,0.52005,0.54237,3.61924,1.10825,0.000680283,0.000680283,0.000680283
4,20.8206,0.60299,1.92638,1.11673,0.52459,0.68561,0.64608,0.56526,0.50317,1.79654,1.06855,0.000671588,0.000671588,0.000671588
5,25.6661,0.58893,1.72261,1.09036,0.48912,0.76826,0.68659,0.58305,0.49657,1.92483,1.07256,0.000657451,0.000657451,0.000657451
6,30.2997,0.59332,1.64614,1.0924,0.63015,0.79002,0.78988,0.65098,0.6044,1.73565,1.14161,0.000643314,0.000643314,0.000643314
7,34.7147,0.55121,1.52424,1.07138,0.70998,0.79331,0.85119,0.73648,0.50299,1.18444,1.03517,0.000629177,0.000629177,0.000629177
8,39.1166,0.58968,1.50583,1.08162,0.7228,0.79738,0.86104,0.75341,0.48522,1.14432,1.04334,0.00061504,0.00061504,0.00061504
9,43.5031,0.54768,1.43761,1.08475,0.71103,0.80592,0.85044,0.73924,0.55066,1.3755,1.07184,0.000600902,0.000600902,0.000600902
10,47.8443,0.57315,1.35663,1.08089,0.76341,0.87156,0.91494,0.82751,0.45105,0.89051,1.00384,0.000586765,0.000586765,0.000586765
11,52.3134,0.52544,1.31403,1.06598,0.81321,0.90581,0.9206,0.82284,0.47168,0.81825,1.02945,0.000572628,0.000572628,0.000572628
12,56.7463,0.54631,1.24311,1.07074,0.79924,0.82012,0.91644,0.8247,0.4468,1.00577,1.00305,0.000558491,0.000558491,0.000558491
13,61.1479,0.52018,1.21546,1.04282,0.84696,0.86725,0.94049,0.85269,0.41832,0.86261,0.96917,0.000544354,0.000544354,0.000544354
14,65.573,0.52274,1.14799,1.04109,0.86136,0.89149,0.96663,0.87767,0.41877,0.79061,0.96684,0.000530216,0.000530216,0.000530216
15,70.0652,0.50063,1.09963,1.02204,0.82502,0.86601,0.92424,0.84316,0.43285,0.8917,0.97854,0.000516079,0.000516079,0.000516079
16,74.485,0.52553,1.1292,1.0595,0.84612,0.90318,0.95417,0.87407,0.40982,0.77861,0.96705,0.000501942,0.000501942,0.000501942
17,78.849,0.50036,1.05397,1.03278,0.87399,0.93802,0.97366,0.88806,0.41209,0.75727,0.96853,0.000487805,0.000487805,0.000487805
18,83.2177,0.50517,1.02332,1.03231,0.93717,0.9465,0.98216,0.90789,0.39191,0.64385,0.95736,0.000473668,0.000473668,0.000473668
19,87.5766,0.46137,0.96386,1.01459,0.89598,0.88427,0.96632,0.90042,0.37014,0.65923,0.93099,0.00045953,0.00045953,0.00045953
20,91.9891,0.47439,0.93433,1.01481,0.89487,0.85414,0.96294,0.8964,0.3772,0.7025,0.94182,0.000445393,0.000445393,0.000445393
21,97.3454,0.46552,0.91197,1.01779,0.93599,0.93724,0.98724,0.92168,0.37044,0.55754,0.9406,0.000431256,0.000431256,0.000431256
22,101.922,0.43418,0.86721,1.00497,0.94181,0.94928,0.98479,0.92237,0.35113,0.51942,0.91778,0.000417119,0.000417119,0.000417119
23,106.425,0.46119,0.89437,1.01138,0.89881,0.90332,0.97483,0.90647,0.37281,0.60144,0.9242,0.000402982,0.000402982,0.000402982
24,110.75,0.4533,0.85694,1.01407,0.94154,0.93779,0.98178,0.91442,0.38166,0.54214,0.93222,0.000388844,0.000388844,0.000388844
25,115.142,0.44617,0.84019,0.99782,0.94085,0.9632,0.98964,0.93274,0.33785,0.46715,0.90027,0.000374707,0.000374707,0.000374707
26,119.554,0.44507,0.84534,1.01211,0.94873,0.96716,0.9891,0.92189,0.37858,0.45938,0.92316,0.00036057,0.00036057,0.00036057
27,124.147,0.45879,0.82443,1.01373,0.93161,0.96737,0.9849,0.92739,0.34337,0.47626,0.90511,0.000346433,0.000346433,0.000346433
28,128.595,0.42087,0.77856,0.98699,0.93145,0.97089,0.98585,0.91433,0.3633,0.46723,0.91921,0.000332296,0.000332296,0.000332296
29,132.947,0.42969,0.75203,0.99026,0.96881,0.9602,0.99112,0.92918,0.33417,0.45447,0.90222,0.000318158,0.000318158,0.000318158
30,137.302,0.41795,0.70988,0.98302,0.97583,0.97473,0.99401,0.93989,0.32907,0.40407,0.8963,0.000304021,0.000304021,0.000304021
31,141.662,0.41583,0.69854,0.98333,0.97831,0.96311,0.99017,0.93447,0.32214,0.41185,0.89366,0.000289884,0.000289884,0.000289884
32,146.009,0.42418,0.7179,0.99919,0.98036,0.98857,0.9943,0.94336,0.32922,0.37756,0.89846,0.000275747,0.000275747,0.000275747
33,150.404,0.42882,0.69136,0.99114,0.95762,0.97122,0.99219,0.94545,0.31938,0.39094,0.88609,0.00026161,0.00026161,0.00026161
34,154.778,0.42402,0.68458,0.98912,0.93595,0.96491,0.98999,0.94183,0.32361,0.46721,0.88762,0.000247472,0.000247472,0.000247472
35,159.256,0.40899,0.65345,0.97725,0.97576,0.98663,0.99419,0.9501,0.30664,0.34497,0.87531,0.000233335,0.000233335,0.000233335
36,164.082,0.40722,0.64882,0.97856,0.98082,0.98578,0.99386,0.95363,0.28889,0.35723,0.87102,0.000219198,0.000219198,0.000219198
37,168.661,0.38777,0.66558,0.96908,0.97331,0.98683,0.9945,0.9508,0.30146,0.36213,0.87032,0.000205061,0.000205061,0.000205061
38,173.143,0.40159,0.66537,0.97001,0.97412,0.98954,0.99421,0.95181,0.2954,0.36791,0.86566,0.000190924,0.000190924,0.000190924
