filename, freshapples, freshbanana, freshoranges, rottenapples, rottenbanana, rottenoranges
saltandpepper_Screen-Shot-2018-06-12-at-11-24-29-PM_png.rf.c7a7a116cd55ab39622184e06c63f1b6.jpg, 0, 0, 0, 0, 0, 1
rotated_by_60_Screen-Shot-2018-06-12-at-11-28-50-PM_png.rf.c7d3d417bb5ce2aa74f43415114f3aa4.jpg, 0, 0, 0, 0, 0, 1
rotated_by_75_Screen-Shot-2018-06-12-at-11-23-54-PM_png.rf.c7d64f0aec07918d7c28ca0ccf2e8956.jpg, 0, 0, 0, 0, 0, 1
Screen-Shot-2018-06-12-at-9-59-48-PM_png.rf.c7eb50fbc6d010aa41938bacf337074b.jpg, 0, 1, 0, 0, 0, 0
rotated_by_45_Screen-Shot-2018-06-08-at-5-10-11-PM_png.rf.c78d9259d54b91a6e2324a2e29ed79b7.jpg, 1, 0, 0, 0, 0, 0
rotated_by_15_Screen-Shot-2018-06-08-at-5-27-13-PM_png.rf.c8863f41ae064035cc88bf75a0e42040.jpg, 1, 0, 0, 0, 0, 0
rotated_by_15_Screen-Shot-2018-06-12-at-9-59-41-PM_png.rf.c7d13cb29571043c494f154ba91ab4b1.jpg, 0, 1, 0, 0, 0, 0
rotated_by_30_Screen-Shot-2018-06-13-at-12-01-23-AM_png.rf.c86dde72d46fceae874c8ad09402e360.jpg, 0, 0, 1, 0, 0, 0
rotated_by_45_Screen-Shot-2018-06-08-at-5-15-09-PM_png.rf.c840629ec09686485225f7a685cd45f2.jpg, 1, 0, 0, 0, 0, 0
Screen-Shot-2018-06-08-at-2-41-54-PM_png.rf.c82f79de2e76839236cc621996a121bf.jpg, 0, 0, 0, 1, 0, 0
translation_Screen-Shot-2018-06-12-at-11-22-12-PM_png.rf.c7f2ce4bf9a557678ae3dcba7268f1fa.jpg, 0, 0, 0, 0, 0, 1
o14_jpeg.rf.c891efaf1f31a94d798efc37dc3f83b3.jpg, 0, 0, 1, 0, 0, 0
rotated_by_45_Screen-Shot-2018-06-12-at-8-51-56-PM_png.rf.c796e78e76a8993a357dd1d67acd81d0.jpg, 0, 0, 0, 0, 1, 0
saltandpepper_Screen-Shot-2018-06-12-at-9-46-19-PM_png.rf.c8325f89bf635742e4e26127fb2e2b87.jpg, 0, 1, 0, 0, 0, 0
translation_Screen-Shot-2018-06-08-at-5-15-34-PM_png.rf.c88bc57485ff741c4d17cd91c5115695.jpg, 1, 0, 0, 0, 0, 0
Screen-Shot-2018-06-13-at-12-07-05-AM_png.rf.c893cf26a5e1c6d8eb71c52c4c49d073.jpg, 0, 0, 1, 0, 0, 0
rotated_by_75_Screen-Shot-2018-06-08-at-5-14-44-PM_png.rf.c804414b612dfd26b90993d0678b2a0c.jpg, 1, 0, 0, 0, 0, 0
vertical_flip_Screen-Shot-2018-06-12-at-9-50-44-PM_png.rf.c79b36566c2f512c34bbe87fee8cc7a0.jpg, 0, 1, 0, 0, 0, 0
rotated_by_75_Screen-Shot-2018-06-12-at-10-05-54-PM_png.rf.c8a0fdc8161073b87c2cf0c8b751311e.jpg, 0, 1, 0, 0, 0, 0
vertical_flip_Screen-Shot-2018-06-07-at-3-05-13-PM_png.rf.c869173aea969953df9ac2370874cdad.jpg, 0, 0, 0, 1, 0, 0
rotated_by_15_Screen-Shot-2018-06-08-at-5-22-58-PM_png.rf.c8f40f80fee1512501e1009aaea8a3cf.jpg, 1, 0, 0, 0, 0, 0
rotated_by_15_Screen-Shot-2018-06-12-at-9-43-27-PM_png.rf.c846f49e8dc810a7c71ba912d5e2eed2.jpg, 0, 1, 0, 0, 0, 0
rotated_by_75_Screen-Shot-2018-06-08-at-5-02-31-PM_png.rf.c8eec530d3f45844674dc11fed0449e3.jpg, 1, 0, 0, 0, 0, 0
rotated_by_75_Screen-Shot-2018-06-12-at-11-54-55-PM_png.rf.c8c449116691fe16f8f5b8bbf7886f45.jpg, 0, 0, 1, 0, 0, 0
rotated_by_45_Screen-Shot-2018-06-12-at-8-51-21-PM_png.rf.c945cb613eca5e9bfcd7bd216c9af15c.jpg, 0, 0, 0, 0, 1, 0
rotated_by_15_Screen-Shot-2018-06-08-at-5-27-27-PM_png.rf.c90b88670eebeb9110c1c9261fa9c3cd.jpg, 1, 0, 0, 0, 0, 0
rotated_by_60_Screen-Shot-2018-06-08-at-4-59-57-PM_png.rf.c9750a4a8328498d608aa157d61a540a.jpg, 1, 0, 0, 0, 0, 0
rotated_by_60_Screen-Shot-2018-06-12-at-9-53-46-PM_png.rf.c95fb75ca3ab2fb9a111f91ae89bdfef.jpg, 0, 1, 0, 0, 0, 0
rotated_by_15_Screen-Shot-2018-06-08-at-5-20-17-PM_png.rf.c8f65dae1e81542851868ae13913732b.jpg, 1, 0, 0, 0, 0, 0
rotated_by_75_Screen-Shot-2018-06-08-at-2-37-53-PM_png.rf.c8fa3313f6a7e2d4d8153bb552400835.jpg, 0, 0, 0, 1, 0, 0
rotated_by_15_Screen-Shot-2018-06-13-at-12-02-11-AM_png.rf.c8dc8c398f3c4ab0041e111af692ca92.jpg, 0, 0, 1, 0, 0, 0
rotated_by_60_Screen-Shot-2018-06-08-at-5-16-16-PM_png.rf.c9a788766e701b2865bc48c866cad0ae.jpg, 1, 0, 0, 0, 0, 0
rotated_by_60_Screen-Shot-2018-06-12-at-9-20-47-PM_png.rf.c9b728b79a4e5d76de54e8f80fbdf47d.jpg, 0, 0, 0, 0, 1, 0
rotated_by_75_Screen-Shot-2018-06-12-at-9-09-22-PM_png.rf.c9a79063968944a6146c57ccefcf9a7a.jpg, 0, 0, 0, 0, 1, 0
translation_Screen-Shot-2018-06-12-at-9-48-39-PM_png.rf.ca2102d99b3728e69de932e9699b93fb.jpg, 0, 1, 0, 0, 0, 0
rotated_by_45_Screen-Shot-2018-06-12-at-9-16-28-PM_png.rf.c924ab9b9bd12ac50c8c836d68717d5d.jpg, 0, 0, 0, 0, 1, 0
rotated_by_60_Screen-Shot-2018-06-07-at-2-46-04-PM_png.rf.c979204622414f4a8d308b8b26533e86.jpg, 0, 0, 0, 1, 0, 0
saltandpepper_Screen-Shot-2018-06-13-at-12-14-18-AM_png.rf.ca3e2de3920fc4cc71993d010bf438d8.jpg, 0, 0, 1, 0, 0, 0
saltandpepper_Screen-Shot-2018-06-13-at-12-11-57-AM_png.rf.c93a427c596aa59a8fb5c1149e84f171.jpg, 0, 0, 1, 0, 0, 0
rotated_by_45_Screen-Shot-2018-06-08-at-5-20-26-PM_png.rf.c950711bf9ff94199232ce812baad31d.jpg, 1, 0, 0, 0, 0, 0
saltandpepper_Screen-Shot-2018-06-12-at-11-20-05-PM_png.rf.c9bd8fd8373bb6a230cf1bbe58a1c18f.jpg, 0, 0, 0, 0, 0, 1
translation_Screen-Shot-2018-06-12-at-11-41-08-PM_png.rf.ca0da96e53ce23cf361d13e75c89eb2e.jpg, 0, 0, 0, 0, 0, 1
translation_Screen-Shot-2018-06-12-at-8-52-01-PM_png.rf.c9b2a1ffc43481c9fa4f4702b8c18356.jpg, 0, 0, 0, 0, 1, 0
rotated_by_30_Screen-Shot-2018-06-12-at-8-55-35-PM_png.rf.ca57b6c01a407e40883fd173b3cef716.jpg, 0, 0, 0, 0, 1, 0
Screen-Shot-2018-06-08-at-5-16-33-PM_png.rf.c9d75742db87238a72c23c042803d84c.jpg, 1, 0, 0, 0, 0, 0
rotated_by_60_Screen-Shot-2018-06-08-at-5-21-31-PM_png.rf.c9ef5473b91249f0d63392a1659672bd.jpg, 1, 0, 0, 0, 0, 0
Screen-Shot-2018-06-07-at-2-46-43-PM_png.rf.c9cc336cc7508cbe11bf4faf03a305b9.jpg, 0, 0, 0, 1, 0, 0
b15_jpeg.rf.ca8c266ae500ba633fa5c98cfd39343e.jpg, 0, 1, 0, 0, 0, 0
Screen-Shot-2018-06-07-at-2-47-13-PM_png.rf.c952a01e590003ed6fb7689a7f1c84c2.jpg, 0, 0, 0, 1, 0, 0
rotated_by_30_Screen-Shot-2018-06-12-at-10-01-07-PM_png.rf.ca992c9e49cc9c9f58c810862e4b57ab.jpg, 0, 1, 0, 0, 0, 0
saltandpepper_Screen-Shot-2018-06-12-at-9-04-47-PM_png.rf.cb089a363148dc72c3c26c1081d308aa.jpg, 0, 0, 0, 0, 1, 0
rotated_by_30_Screen-Shot-2018-06-12-at-9-50-12-PM_png.rf.cae9eb386e64a78b5b178e22f4cc131e.jpg, 0, 1, 0, 0, 0, 0
rotated_by_60_Screen-Shot-2018-06-12-at-11-41-44-PM_png.rf.caffe82f89826ebc8239a686cfecc70f.jpg, 0, 0, 0, 0, 0, 1
saltandpepper_Screen-Shot-2018-06-08-at-5-16-37-PM_png.rf.cad1923d7ad7b275046353dfdc00eb79.jpg, 1, 0, 0, 0, 0, 0
translation_Screen-Shot-2018-06-12-at-9-08-12-PM_png.rf.cafda68ceb4644b27e48184a42d89553.jpg, 0, 0, 0, 0, 1, 0
vertical_flip_Screen-Shot-2018-06-12-at-11-24-04-PM_png.rf.cb293aadf4a5c299ccebc1df75a2af76.jpg, 0, 0, 0, 0, 0, 1
vertical_flip_Screen-Shot-2018-06-08-at-2-25-24-PM_png.rf.cad81800847a0352f2002e9a77c0a84b.jpg, 0, 0, 0, 1, 0, 0
rotated_by_75_Screen-Shot-2018-06-12-at-11-58-11-PM_png.rf.cb1cc9def66890e2b423cbc1d0ef5e9f.jpg, 0, 0, 1, 0, 0, 0
vertical_flip_Screen-Shot-2018-06-12-at-9-52-21-PM_png.rf.cabdcce7888844a11520ecef599698af.jpg, 0, 1, 0, 0, 0, 0
rotated_by_45_Screen-Shot-2018-06-12-at-9-57-17-PM_png.rf.cb5d9ddcfe075e86081dc264a09d73d8.jpg, 0, 1, 0, 0, 0, 0
rotated_by_15_Screen-Shot-2018-06-12-at-11-25-20-PM_png.rf.cb2729f824bcfc878326ceeebb29aa62.jpg, 0, 0, 0, 0, 0, 1
rotated_by_75_Screen-Shot-2018-06-07-at-2-57-05-PM_png.rf.cb605fbd484eae26fe610c85162d6340.jpg, 0, 0, 0, 1, 0, 0
rotated_by_75_Screen-Shot-2018-06-12-at-11-52-51-PM_png.rf.cb0d3224be2b6ec5f5d5aead0aa9dd8d.jpg, 0, 0, 1, 0, 0, 0
vertical_flip_Screen-Shot-2018-06-12-at-11-36-06-PM_png.rf.cb71178d38b01e84d2e818e3015355f9.jpg, 0, 0, 0, 0, 0, 1
saltandpepper_Screen-Shot-2018-06-12-at-9-01-32-PM_png.rf.cb2c0bf59d3a582ffdf9df585cd8357a.jpg, 0, 0, 0, 0, 1, 0
